r_km,obs,theo,lo,hi,Statut
918.6076059036527,NA,918607.6059036527,843795.2886224856,983063.6957871356,Compatible avec le hasard
922.4511523718688,NA,922451.1523718688,847111.7399678269,985664.8976341471,Compatible avec le hasard
926.294698840085,NA,926294.698840085,852086.0148995802,989948.6212128043,Compatible avec le hasard
930.1382453083011,NA,930138.2453083011,857400.4298422838,994064.8494505486,Compatible avec le hasard
933.9817917765172,NA,933981.7917765173,861948.4499549292,998390.5077216501,Compatible avec le hasard
937.8253382447333,NA,937825.3382447334,865861.9704182693,1001282.2904701396,Compatible avec le hasard
941.6688847129494,NA,941668.8847129494,871214.3572579307,1007150.6618328745,Compatible avec le hasard
945.5124311811655,NA,945512.4311811655,874603.3672754979,1010846.6399849465,Compatible avec le hasard
949.3559776493817,NA,949355.9776493816,NA,NA,Compatible avec le hasard
953.1995241175978,NA,953199.5241175977,NA,NA,Compatible avec le hasard
957.0430705858139,NA,957043.0705858138,NA,NA,Compatible avec le hasard
960.88661705403,NA,960886.6170540301,NA,NA,Compatible avec le hasard
964.7301635222461,NA,964730.1635222462,NA,NA,Compatible avec le hasard
968.5737099904622,NA,968573.7099904622,NA,NA,Compatible avec le hasard
972.4172564586784,NA,972417.2564586784,NA,NA,Compatible avec le hasard
976.2608029268945,NA,976260.8029268945,NA,NA,Compatible avec le hasard
980.1043493951106,NA,980104.3493951106,NA,NA,Compatible avec le hasard
983.9478958633267,NA,983947.8958633267,NA,NA,Compatible avec le hasard
987.7914423315428,NA,987791.4423315428,NA,NA,Compatible avec le hasard
991.634988799759,NA,991634.988799759,NA,NA,Compatible avec le hasard
995.4785352679751,NA,995478.5352679751,NA,NA,Compatible avec le hasard
999.3220817361912,NA,999322.0817361912,NA,NA,Compatible avec le hasard
1003.1656282044073,NA,1003165.6282044073,NA,NA,Compatible avec le hasard
1007.0091746726234,NA,1007009.1746726234,NA,NA,Compatible avec le hasard
1010.8527211408397,NA,1010852.7211408396,NA,NA,Compatible avec le hasard
1014.6962676090558,NA,1014696.2676090557,NA,NA,Compatible avec le hasard
