Birthplace,Country,NbJoueurs,latitude,longitude
"Granby, QC, Canada",Canada,4,45.3990409,-72.721834
"Grand'Mere, QC, Canada",Canada,4,46.612894,-72.69516
"Greenwich, CT, USA",USA,4,41.0264862,-73.6284598
"Grosse Pointe, MI, USA",USA,4,42.3861485,-82.9118591
"Hameenlinna, Finland",Finland,4,60.9966192,24.465141
"Hancock, MI, USA",USA,4,47.126871,-88.580956
"Havlickuv Brod, Czech Republic",Czech Republic,4,49.606942,15.5795748
"High River, AB, Canada",Canada,4,50.5801916,-113.8709332
"Huntsville, ON, Canada",Canada,4,45.3263919,-79.218434
"Ilava, Slovakia",Slovakia,4,48.9985674,18.2307598
"Joliette, QC, Canada",Canada,4,46.0239798,-73.4419936
"Kamsack, SK, Canada",Canada,4,51.5645433,-101.8953088
"Kanata, ON, Canada",Canada,4,45.3128048,-75.8940505
"Khabarovsk, Russia",Russia,4,51.6312684,136.121524
"Kimberley, BC, Canada",Canada,4,49.6850876,-115.9819477
"Kramfors, Sweden",Sweden,4,62.916667,17.666667
"LaSalle, QC, Canada",Canada,4,45.4325141,-73.6292667
"Lachute, QC, Canada",Canada,4,45.6560478,-74.3401388
"Lanigan, SK, Canada",Canada,4,51.8457609,-105.033137
"Liberec, Czech Republic",Czech Republic,4,50.7702648,15.0583947
"Linkoping, Sweden",Sweden,4,58.4098135,15.6245252
"Lumsden, SK, Canada",Canada,4,50.6463023,-104.8659356
"Malartic, QC, Canada",Canada,4,48.137225,-78.125153
"Midland, ON, Canada",Canada,4,44.750147,-79.885712
"Mont-Laurier, QC, Canada",Canada,4,46.5524071,-75.4968899
"Moosomin, SK, Canada",Canada,4,50.1443787,-101.669059
"Munich, Germany",Germany,4,48.1371079,11.5753822
"Nepean, ON, Canada",Canada,4,45.2862008,-75.7512324
"Nizhnekamsk, Russia",Russia,4,55.6412879,51.8160376
"Nokia, Finland",Finland,4,61.4781666,23.5096158
"Omaha, NE, USA",USA,4,41.2587459,-95.9383758
"Orangeville, ON, Canada",Canada,4,43.9193171,-80.0973754
"Orillia, ON, Canada",Canada,4,44.6066135,-79.4169256
"Paris, ON, Canada",Canada,4,43.193234,-80.384281
"Park Ridge, IL, USA",USA,4,42.0112329,-87.8406031
"Pelhrimov, Czech Republic",Czech Republic,4,49.4308737,15.2232341
"Perm, Russia",Russia,4,58.0108531,56.2318528
"Phoenix, AZ, USA",USA,4,33.4484367,-112.074141
