Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"Pitea, Sweden","Pitea, Sweden",Sweden,5,65.3134652,21.4900252
"Ponoka, AB, Canada","Ponoka, AB, Canada",Canada,5,52.6744291,-113.5771426
"Port Alberni, BC, Canada","Port Alberni, BC, Canada",Canada,5,49.2343668,-124.8056517
"Port Hope, ON, Canada","Port Hope, ON, Canada",Canada,5,43.9515755,-78.2939704
"Portage la Prairie, MB, Canada","Portage la Prairie, MB, Canada",Canada,5,49.972422,-98.289185
"Providence, RI, USA","Providence, RI, USA",USA,5,41.8239891,-71.4128343
"Quesnel, BC, Canada","Quesnel, BC, Canada",Canada,5,52.9794279,-122.493627
"Rimouski, QC, Canada","Rimouski, QC, Canada",Canada,5,48.450155,-68.529968
"Roseville, MN, USA","Roseville, MN, USA",USA,5,45.0060767,-93.1566107
"Rosthern, SK, Canada","Rosthern, SK, Canada",Canada,5,52.663891,-106.335297
